condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,mse_mean,mse_std,rmse_mean,rmse_std,n_targets_used
all,,0,100,100,50000,,,,24297.61917660905,38608.10515180307,127.83584615638607,89.39137236383745,227
all,,1,100,100,50000,,,,22607.245432953372,35069.541510894756,122.8842523967897,86.83272113017146,227
all,,2,100,100,50000,,,,24853.835942627073,37566.49524344188,130.9317049194973,88.00478873275469,227
all,,3,100,100,50000,,,,27588.784430379943,43909.44352500927,134.62327867297222,97.50507361943855,227
all,,4,100,100,50000,,,,21723.721480288514,39218.32524969963,120.87277624514252,84.5279189249571,227
all,,5,100,100,50000,,,,22734.15848500915,44835.00411767884,118.82566495686113,93.02009255767653,227
all,,6,100,100,50000,,,,21178.512301015064,33581.95328690856,120.30685895259697,82.06362850053618,227
all,,7,100,100,50000,,,,21768.35540486518,33442.95420309617,121.26518529898502,84.22804128935773,227
all,,8,100,100,50000,,,,22116.07277080501,31342.57427406202,124.70496292712615,81.20217076139129,227
all,,9,100,100,50000,,,,20990.60023155623,35093.17967693998,118.67725594909153,83.28786251311128,227
bottomk,0.0,0,100,100,5000,,,,24045.371768722467,37930.63346626769,127.88976776881127,87.88403583647576,227
bottomk,0.0,1,100,100,5000,,,,22197.348351541852,34851.20232254915,122.07709194341382,85.59677952079963,227
bottomk,0.0,2,100,100,5000,,,,24442.15338942731,36803.64667548006,130.34159164381907,86.52283940943944,227
bottomk,0.0,3,100,100,5000,,,,27326.17244493392,42624.52326412742,134.82534559257076,95.85811300176474,227
bottomk,0.0,4,100,100,5000,,,,21581.03010881057,39041.538877756175,120.88839812762099,83.65317000899812,227
bottomk,0.0,5,100,100,5000,,,,22626.035588986786,44848.621827651434,119.3702330117383,91.72703239219459,227
bottomk,0.0,6,100,100,5000,,,,20720.363176211453,32175.543096447742,119.54573765283965,80.3593646279929,227
bottomk,0.0,7,100,100,5000,,,,21659.073550660796,33552.28893820366,121.41865841217167,83.34978877802523,227
bottomk,0.0,8,100,100,5000,,,,21970.670517621144,31249.478138813185,124.77341969291798,80.19097741428064,227
bottomk,0.0,9,100,100,5000,,,,20887.62309867841,35077.31692827261,118.88197782027592,82.36860138699025,227
bottomk,50.0,0,100,100,5000,,,,24045.386561233478,37930.62226088598,127.8899678130349,87.88382797312104,227
bottomk,50.0,1,100,100,5000,,,,22197.382443171806,34851.26325902454,122.07702347469467,85.59707762358764,227
bottomk,50.0,2,100,100,5000,,,,24442.037115418505,36803.676323153035,130.34123667234388,86.52270161865589,227
bottomk,50.0,3,100,100,5000,,,,27326.136886343615,42624.53372248979,134.82523062771696,95.8580891205255,227
bottomk,50.0,4,100,100,5000,,,,21580.661940528633,39040.98672574112,120.88805097660327,83.65146358273876,227
bottomk,50.0,5,100,100,5000,,,,22626.101397797356,44848.59009640623,119.37082474636156,91.72661922819557,227
bottomk,50.0,6,100,100,5000,,,,20720.341747136565,32175.56040201737,119.54551207586468,80.35956776666661,227
bottomk,50.0,7,100,100,5000,,,,21659.077395154185,33552.25621219815,121.41872371312287,83.34971639524528,227
bottomk,50.0,8,100,100,5000,,,,21970.63233568282,31249.487926026533,124.77305375456324,80.1913101929589,227
bottomk,50.0,9,100,100,5000,,,,20887.583465638763,35077.26842955846,118.88237409422975,82.36778526414403,227
bottomk,100.0,0,100,100,5000,,,,24124.32265154185,38598.42667153873,128.11702959835156,88.00264750907805,227
bottomk,100.0,1,100,100,5000,,,,22700.6889568282,35116.23984208264,124.77647936606418,84.63494874060225,227
bottomk,100.0,2,100,100,5000,,,,24664.293218942727,37614.628961762806,131.32287761749865,86.32161186482816,227
bottomk,100.0,3,100,100,5000,,,,27775.570449339208,43900.15703558307,137.55271356197636,94.30801698117483,227
bottomk,100.0,4,100,100,5000,,,,21905.40928502203,39198.64108787577,123.72553466940586,81.40389055314851,227
bottomk,100.0,5,100,100,5000,,,,22900.94485814978,44793.00172107492,122.2887133757324,89.33966962844147,227
bottomk,100.0,6,100,100,5000,,,,21187.546518502204,33645.4163177776,121.33909688647675,80.57898915184644,227
bottomk,100.0,7,100,100,5000,,,,21475.510568722468,33372.05947875401,123.03649885333623,79.78453916061622,227
bottomk,100.0,8,100,100,5000,,,,22147.542207488983,31364.194855544243,125.92279592963219,79.49105559176334,227
bottomk,100.0,9,100,100,5000,,,,20890.908469603524,34995.12723670736,120.13378278487826,80.54415799999107,227
random,,0,100,100,5000,,,,24113.532989722968,38461.08149207506,127.18441145582655,89.29042980621739,227
random,,0,100,100,20000,,,,23972.359288394222,38496.49481347817,126.60286876163221,89.32650040613034,227
random,,0,100,100,1000,,,,24247.643238789722,38532.069623449366,127.68459103861439,89.32771221125743,227
random,,0,100,100,10000,,,,24138.46966134485,38556.7020949312,127.1597072193735,89.4658540766156,227
random,,1,100,100,5000,,,,22472.675994273126,34899.72290123017,122.45073091256056,86.66940161816787,227
random,,2,100,100,5000,,,,24721.89025110132,37471.78908130527,130.44888558111776,87.97199171881199,227
random,,3,100,100,5000,,,,27450.66218414097,43861.67164468934,134.13301547138641,97.47230535296036,227
random,,4,100,100,5000,,,,21594.399182819387,39077.46074974966,120.4127091123924,84.41903377145218,227
random,,5,100,100,5000,,,,22574.386336563875,44602.44411084597,118.225967180979,92.92495291771627,227
random,,6,100,100,5000,,,,21071.160302202643,33491.163170996726,119.80931631015257,82.13774267035193,227
random,,7,100,100,5000,,,,21650.896582378853,33460.103835572314,120.78083126541138,84.22671248060948,227
random,,8,100,100,5000,,,,21966.02381365639,31262.092932620504,124.10988670716586,81.18989220046757,227
random,,9,100,100,5000,,,,20829.49483480176,35105.55779691991,118.00397363639927,83.27729689519539,227
topk,0.0,0,100,100,5000,,,,21046.312607488984,36416.89415844396,116.7784150155985,86.26643661321697,227
topk,0.0,1,100,100,5000,,,,19498.323173127756,32440.054958809218,112.63229126239492,82.71900032536719,227
topk,0.0,2,100,100,5000,,,,21566.55156255507,34516.443887973655,120.68912977800778,83.85500581698298,227
topk,0.0,3,100,100,5000,,,,23867.98292246696,41204.42764610518,123.65269503893634,92.82213990981855,227
topk,0.0,4,100,100,5000,,,,18608.045441409697,34920.29641409741,110.89236246659941,79.61691939722706,227
topk,0.0,5,100,100,5000,,,,19263.319276651982,39981.53714833824,108.10778116238234,87.23272993461924,227
topk,0.0,6,100,100,5000,,,,18227.395388105728,31435.44834405905,110.51225095052747,77.72419400992835,227
topk,0.0,7,100,100,5000,,,,18934.632033480175,30575.139415346082,112.19197171507345,79.8478566596406,227
topk,0.0,8,100,100,5000,,,,19079.28660660793,28945.879382739648,114.75064170019854,77.05669507336081,227
topk,0.0,9,100,100,5000,,,,17914.890320704846,31623.094975241605,108.33931464705053,78.7706621723597,227
topk,50.0,0,100,100,5000,,,,21046.825841409693,36423.6389175137,116.7779300997949,86.27008373185487,227
topk,50.0,1,100,100,5000,,,,19498.321811894275,32441.100068263706,112.63291754470995,82.71813551881412,227
topk,50.0,2,100,100,5000,,,,21568.04914581498,34520.993583387615,120.69280341871853,83.85866404927621,227
topk,50.0,3,100,100,5000,,,,23867.664870044053,41203.48146466374,123.65264133003284,92.82049094340097,227
topk,50.0,4,100,100,5000,,,,18607.414970044054,34922.04351633751,110.89063804261465,79.61535488469262,227
topk,50.0,5,100,100,5000,,,,19264.960633039645,39982.373843138885,108.11280161783259,87.23592987902387,227
topk,50.0,6,100,100,5000,,,,18226.945814537445,31435.299703751803,110.50936976527018,77.72540378546857,227
topk,50.0,7,100,100,5000,,,,18934.071632599123,30574.75497891866,112.19102492893389,79.84566810623302,227
topk,50.0,8,100,100,5000,,,,19078.419758590313,28945.620635379215,114.74762568434929,77.0555566141296,227
topk,50.0,9,100,100,5000,,,,17914.865466519823,31623.46681821433,108.33773472829188,78.77268626745925,227
topk,100.0,0,100,100,10000,,,,20934.21169307729,36034.67982272165,117.44614201005382,84.68890755868225,227
topk,100.0,0,100,100,20000,,,,20813.8765281835,35934.77200988423,117.0167017115412,84.5723167290334,227
topk,100.0,0,100,100,1000,,,,21601.019387726952,36655.98644816591,119.6890576389853,85.485329521095,227
topk,100.0,0,100,100,5000,,,,21092.619176077067,36201.725477421096,117.97377661863602,84.89142560326626,227
topk,100.0,1,100,100,5000,,,,18678.33051938326,30706.134696667137,111.11245672243932,79.75193878051196,227
topk,100.0,2,100,100,5000,,,,21402.13523480176,34446.93678981285,120.75753436382746,82.76429802742503,227
topk,100.0,3,100,100,5000,,,,23610.918782819383,41036.61328345258,123.29654536193526,91.90260127596652,227
topk,100.0,4,100,100,5000,,,,18899.97029427313,35062.865492284414,112.54549540808266,79.12688250721726,227
topk,100.0,5,100,100,5000,,,,19042.72070572687,39365.40480066599,108.12768959783843,85.92817083391719,227
topk,100.0,6,100,100,5000,,,,18174.470172687223,29532.548045412997,111.83730321017106,75.4450959842231,227
topk,100.0,7,100,100,5000,,,,18655.491824229077,30856.068179366594,111.52563257373801,79.02554192335491,227
topk,100.0,8,100,100,5000,,,,19272.8278,29537.809317526135,115.6708341114854,76.93608735463317,227
topk,100.0,9,100,100,5000,,,,18073.23493700441,32154.637939827873,109.90906685847192,77.58705230119264,227
